SQUID,UNIT,TOPELEVATION,BOTTOMELEVATION,RAWMAT,Material Type,DEBITAGE,DATACLASS,PRESERVATION,PATINATION,CORTEX,LOCATION OF CORTEX,CORTEX OF PREPARATION SURFACE,BURNT,SURFACE OF  FLAKE USED FOR FLAKING,NUMBER OF ACTIVE EDGES CORES,NUMBER OF PLATFORMS ON CORE,NUMBER OF SCARS FS,NUMBER OF SCARS PS,CORE LONGITUDINAL SECTION,CORE MORPHOLOGY,CORE TECHNOLOGY,CORE FLAKING METHODS,CORE TYPE,TYPE OF FLAKE CF,DOMINANT SCAR,LAST SCAR,ANGLE BETWEEN SP AND DS,FLAKE SP,TECHNOLOGY,PROFILE VENTRAL,PROFILE DORSAL,SECTION,FLAKE MORPHOLOGY,FLAKE TERMINATION,SYMMETRY,NO DORSAL SCARS,SCAR PATTERN,STRIKING PLATFORM,LIP,RETOUCH,TOOL BLANK,STAGE OF RETOUCH,MODULE,TYPOLOGY A,RETOUCH LOCATION A,RETOUCH FACE A,RETOUCH TYPE A,ABRASION,SHAPE OF ACTIVE EDGE A,SECOND EVENT RETOUCH,TYPOLOGY B,RETOUCH LOCATION B,RETOUCH FACE B,RETOUCH TYPE B,SHAPE OF ACTIVE EDGE B,CORE LENGTH,CORE WIDTH,CORE THICKNESS,LENGTH OF DOMINANT SCAR,WIDTH OF DOMINANT SCAR,LENGTH OF LAST SCAR,WIDTH OF LAST SCAR,CORE CIRCUMFERENCE,TECHNOLOGICAL LENGTH,TECHNOLOGICAL WIDTH,MORPHOLOGICAL LENGTH,MORPHOLOGICAL WIDTH,THICKNESS,BREADTH OF STRIKING PLATFORM,DEPTH OF STRIKING PLATFORM,WEIGHT,IMAGE ACQUISITION 2D AND 3D,COMMENTS
B78-10,1b,96.91,96.9,Gutansar,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Concave,Convex,Triangular,Sub rectangular,Feather,Symmetrical,7,Along axis side,Plain,Lipped,Yes,Flake,Pre detachment,Module 2,,Proximal,Dorsal,Regular,No,,No,,,,,,,,,,,,,,14.76,9.75,16.07,10.2,1.67,2.42,0.96,0.18,None,
B78-11,1b,96.91,96.9,Gutansar,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Concave,Convex,Polyhedral,Trapezoidal,Feather,Symmetrical,9,Along axis side,Crushed,Not lipped,Yes,Flake,Pre detachment,Module 2,,Proximal left,Dorsal,Flat,No,,No,,,,,,,,,,,,,,10.43,17.42,18.01,11.17,1.31,,,0.31,None,
B79-a,1b,96.98,96.91,Gutansar,Obsidian,Kombewa,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Concave,Convex,Triangular,Trapezoidal,Feather,A symetric to the right,2,Along axis,Plain,Lipped,Yes,Flake,Pre detachment,Module 2,,Proximal,Dorsal,Regular,No,,No,,,,,,,,,,,,,,9.2,8.48,12,8.82,1.14,3.55,1.53,0.17,None,
B79-b,1b,96.98,96.91,Gutansar,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Straight,Trapezoidal,Rectangular,Feather,Symmetrical,3,Along axis,Crushed,Not lipped,Yes,Flake,Pre detachment,Module 2,,Proximal,Dorsal,Regular,Yes,,No,,,,,,,,,,,,,,9.88,10.46,10.17,11.23,1.76,,,0.19,None,
C75-2,1b,97.05,96.95,Gutansar,Obsidian,Kombewa,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Straight,Polyhedral,Irregular,Feather,Symmetrical,9,Along axis,Punctiform,Not lipped,Yes,Flake,Pre detachment,Module 3,,Proximal until ridge,Dorsal,Half quina,No,,No,,,,,,,,,,,,,,6.54,5.22,8.16,6.65,1.07,2.88,0.99,0.05,None,
D76,1b,97.08,97,Gutansar,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Convex,Straight,Trapezoidal,Retouched,Symmetrical,25,Along axis opposed,Punctiform,Not lipped,Yes,Flake,Pre detachment,Module 4,,Distal and proximal,Dorsal,Scraper-like,No,,No,,,,,,,,,,,,,,9.42,17.87,17.91,9.3,2.94,0.8,0.81,0.4,Photo+3d,
D77,1b,96.95,96.91,Gutansar,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Concave,Convex,Polyhedral,Sub rectangular,Feather,Symmetrical,5,Along axis,Faceted,Not lipped,Yes,Flake,Pre detachment,Module 2,,Proximal,Dorsal,Regular,No,,No,,,,,,,,,,,,,,10.42,5.62,10.2,6.26,0.84,4.39,0.7,0.05,None,
Zz77,2a,97.21,97.01,Gutansar,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Concave,Convex,Polyhedral,Trapezoidal,Feather,Symmetrical,7,Along axis side,Crushed,Not lipped,Yes,Flake,Pre detachment,Module 3,,Circumference,Dorsal,Mixed,No,,No,,,,,,,,,,,,,,7.79,5.93,7.9,6.84,1.06,,,0.06,None,
A77-11,2a,97.19,97.19,Gutansar,Obsidian,Kombewa,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Concave,Triangular,Trapezoidal,Trapezoidal,Retouched,Symmetrical,8,Opposed side,Punctiform,Not lipped,Yes,Flake,Pre detachment,Module 4,,Distal left,Dorsal,Half quina,No,,No,,,,,,,,,,,,,,12.81,26.51,27.11,13.78,6.49,3.19,1.49,1.96,None,
B77-50,1b,96.96,96.96,Gutansar,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Concave,Convex,Polyhedral,Trapezoidal,Feather,A symetric to the left,8,Along axis side,Punctiform,Not lipped,Yes,Flake,Pre detachment,Module 3,,Proximal,Dorsal,Regular,No,,No,,,,,,,,,,,,,,9.04,18.17,19.33,12.89,2.49,2.46,1.57,0.45,None,
B77-44,1b,96.96,96.96,Gutansar,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Oblique,Polyhedral,Trapezoidal,Hinge,Symmetrical,12,Along axis side,Crushed,Not lipped,Yes,Flake,Pre detachment,Module 3,,Proximal,Dorsal,Half quina,No,,No,,,,,,,,,,,,,,11.95,22.01,23.67,12.68,3.82,,,1.07,None,
B78-85,1b,96.94,96.94,Gutansar,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Concave,Convex,Polyhedral,Trapezoidal,Feather,A symetric to the right,12,Along axis,Plain,Lipped,Yes,Flake,Pre detachment,Module 3,,Proximal,Dorsal,Half quina,No,,No,,,,,,,,,,,,,,10.85,10.84,15.52,10.9,1.77,2.68,1.5,0.26,Photo high resolution,
B78-80,1b,96.95,96.95,Gutansar,Obsidian,Kombewa,Lat,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,,,,,Feather,,4,Along axis,Crushed,Not lipped,Yes,Flake,Pre detachment,Module 1,,Proximal,Dorsal,Flat,No,,No,,,,,,,,,,,,,,,,19.5,17.26,1.41,,,0.51,None,
B78-24,1b,97.02,97.02,Gutansar,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Concave,Convex,Polyhedral,Trapezoidal,Feather,Symmetrical,15,Centripetal,Crushed,Not lipped,Yes,Flake,Pre detachment,Module 4,,Circumference,Dorsal,Quina,No,,No,,,,,,,,,,,,,,12.08,15.14,24.41,12.95,2.76,,,0.61,Photo high resolution,
B78-46-2,1b,96.99,96.99,Gutansar,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Convex,Convex,Trapezoidal,Feather,Symmetrical,14,Centripetal,Punctiform,Not lipped,Yes,Flake,Pre detachment,Module 4,,Distal left,Dorsal,Mixed,No,,No,,,,,,,,,,,,,,8.92,12.53,12.63,8.5,3.45,2.35,1.32,0.28,Photo high resolution,Two ventrals 
B78-62,1b,96.99,96.99,Gutansar,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Concave,Triangular,Triangular,Trapezoidal,Feather,Symmetrical,15,Along axis,Plain,Not lipped,Yes,Flake,Pre detachment,Module 3,,Proximal,Dorsal,Quina,No,,No,,,,,,,,,,,,,,13.2,17.84,20.91,13.35,5.73,4.2,3.4,1.19,None,
B78-44,1b,97,97,Gutansar,Obsidian,Flake,Lat,Partly abraded,Patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,,,,,Retouched,,21,Along axis opposed,Faceted,Lipped,Yes,Flake,Pre detachment,Module 4,,Distal proximal right,Dorsal,Scraper-like,No,,No,,,,,,,,,,,,,,,,35.03,22.92,4.96,10.15,2.54,2.86,Photo+3d,Check notes
B79-17,1b,97.02,97.02,Gutansar,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Concave,Convex,Triangular,Trapezoidal,Feather,Symmetrical,7,Centripetal,Punctiform,Not lipped,Yes,Flake,Pre detachment,Module 3,,Proximal,Dorsal,Mixed,No,,No,,,,,,,,,,,,,,8.58,7.54,8.62,8.53,1.07,1.29,0.5,0.1,None,
C75-11,1b,96.92,96.92,Gutansar,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Concave,Convex,Trapezoidal,Trapezoidal,Feather,Symmetrical,5,Side,Plain,Not lipped,Yes,Flake,Pre detachment,Module 1,,Proximal,Dorsal,Regular,No,,No,,,,,,,,,,,,,,11.4,9.76,14.69,10.59,2.16,4.74,1.57,0.26,None,
C76-75,1b,97.05,97.05,Gutansar,Obsidian,Kombewa,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Concave,Convex,Polyhedral,Sub rectangular,Feather,Symmetrical,9,Along axis,Plain,Lipped,Yes,Flake,Pre detachment,Module 2,,Proximal,Dorsal,Half quina,No,,No,,,,,,,,,,,,,,17.27,11.11,17.65,12.29,1.53,2.38,0.74,0.29,None,
C76-90,1b,96.99,96.99,Gutansar,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Concave,Convex,Polyhedral,Trapezoidal,Feather,Symmetrical,15,Along axis,Plain,Lipped,Yes,Flake,Pre detachment,Module 4,,Proximal until ridge,Dorsal,Mixed,No,,No,,,,,,,,,,,,,,16.66,19.09,19.97,16.89,2.12,11.11,1.71,0.83,Photo+3d,
C77-74,1b,96.99,96.99,Gutansar,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Concave,Convex,Straight,Trapezoidal,Feather,Symmetrical,9,Along axis side,Crushed,Not lipped,Yes,Flake,Pre detachment,Module 4,,Proximal left,Dorsal,Scraper-like,No,,No,,,,,,,,,,,,,,4.91,14.1,14.1,4.95,1.24,,,0.1,None,
C77-69-6,1b,97.01,97.01,Gutansar,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Concave,Convex,Straight,Trapezoidal,Step,Symmetrical,5,Convergent side,Plain,Lipped,Yes,Flake,Pre detachment,Module 2,,Circumference,Dorsal,Scraper-like,No,,No,,,,,,,,,,,,,,8.79,8.45,10.78,8.74,0.85,6.51,1.68,0.12,None,
C77-69-7,1b,97.01,97.01,Gutansar,Obsidian,Flake,Prox,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,,,,,Feather,,8,Along axis opposed,,,Yes,Flake,Pre detachment,Module 3,,Circumference,Dorsal,Half quina,No,,No,,,,,,,,,,,,,,,,9.83,4.95,1.43,,,0.09,None,
C77-109,1b,96.98,96.98,Gutansar,Obsidian,Flake,Dist,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,,,,,,,4,Along axis,Crushed,Not lipped,Yes,Flake,Pre detachment,Module 2,,Proximal,Dorsal,Regular,No,,No,,,,,,,,,,,,,,,,16.08,12.38,2.56,,,0.36,None,
C77-100,1b,96.98,96.98,Gutansar,Obsidian,Flake,Dist,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,,,,,,,5,Side,Punctiform,Not lipped,Yes,Flake,Pre detachment,Module 1,,Proximal,Dorsal,Flat,No,,No,,,,,,,,,,,,,,,,13.13,7.95,0.83,1.45,0.84,0.08,None,
C77-107,1b,96.97,96.97,Gutansar,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Concave,Convex,Trapezoidal,Trapezoidal,Feather,Symmetrical,4,Convergent side,Plain,Lipped,Yes,Flake,Pre detachment,Module 2,,Proximal,Dorsal,Mixed,No,,No,,,,,,,,,,,,,,13.8,13.43,15.72,13.65,1.27,5.28,1.44,0.27,None,
C77-57,1b,97.03,97.03,Gutansar,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Concave,Convex,Triangular,Sub rectangular,Feather,A symetric to the right,6,Centripetal,Crushed,Not lipped,Yes,Flake,Pre detachment,Module 1,,Proximal,Dorsal,Regular,No,,No,,,,,,,,,,,,,,12.46,8.45,13.23,8.99,2.19,,,0.2,None,
C77-114,1b,96.94,96.94,Gutansar,Obsidian,Flake,Dist,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,,,,,,,5,Along axis side,Punctiform,Not lipped,Yes,Flake,Pre detachment,Module 2,,Proximal,Dorsal,Fine,No,,No,,,,,,,,,,,,,,,,26.85,16.15,3.28,1.44,2.4,0.97,Photo high resolution,
C77-96,1b,96.98,96.98,Gutansar,Obsidian,Kombewa,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Concave,Convex,Polyhedral,Oval,Feather,Symmetrical,9,Along axis,Plain,Lipped,Yes,Flake,Pre detachment,Module 2,,Proximal,Dorsal,Half quina,No,,No,,,,,,,,,,,,,,14.69,15.49,18.06,14.74,2.26,5.13,0.86,0.52,None,
C78-44,1b,96.96,96.96,Gutansar,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Concave,Convex,Concave,Trapezoidal,Feather,Symmetrical,5,Along axis,Dihedral,Not lipped,Yes,Flake,Pre detachment,Module 2,,Proximal left,Dorsal,Regular,No,,No,,,,,,,,,,,,,,16.03,24.47,24.37,13.67,3.81,22.32,4.72,1.2,None,
D77-28-3,1b,97.03,97.03,Gutansar,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Straight,Polyhedral,Trapezoidal,Hinge,Symmetrical,7,Along axis,Plain,Lipped,Yes,Flake,Pre detachment,Module 3,,Proximal until ridge,Dorsal,Half quina,No,,No,,,,,,,,,,,,,,8.62,7.49,11.68,9.23,1.57,3.96,0.89,0.15,None,
D77-44,1b,96.98,96.98,Gutansar,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Concave,Convex,Polyhedral,Irregular,Hinge,A symetric to the right,10,Along axis side,Plain,Lipped,Yes,Flake,Pre detachment,Module 2,,Proximal,Dorsal,Half quina,No,,No,,,,,,,,,,,,,,14.18,14.89,17.82,12.15,2.61,5.52,1.38,0.66,None,
Zz77-29,1b,96.96,96.96,Gutansar,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Concave,Convex,Triangular,Trapezoidal,Feather,Symmetrical,5,Along axis side,Plain,Not lipped,Yes,Flake,Pre detachment,Module 1,,Proximal left,Dorsal,Flat,No,,No,,,,,,,,,,,,,,8.86,6.28,9.89,4.42,0.99,3.33,0.65,0.05,None,
C77-80,1b,97,97,Gutansar,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Concave,Convex,Convex,Trapezoidal,Feather,Symmetrical,5,Along axis side,Punctiform,Not lipped,Yes,Flake,Pre detachment,Module 2,,Proximal,Dorsal,Regular,No,,No,,,,,,,,,,,,,,16.17,12.09,16.18,11.99,3.26,1.3,1.12,0.36,None,
C76-97,1b,96.96,96.96,Gutansar,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Concave,Straight,Straight,Irregular,Feather,A symetric to the right,8,Along axis side,Plain,Lipped,Yes,Flake,Pre detachment,Module 3,,Dista proximal left,Dorsal,Mixed,No,,No,,,,,,,,,,,,,,11.09,7.13,15.43,9.3,1.97,2.65,0.77,0.2,None,
A77-a,1b,97.01,96.99,Gutansar,Obsidian,Flake,Prox,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,,,,,Retouched,,7,Opposed,,,Yes,Flake,Pre detachment,Module 2,,Distal,Dorsal,Half quina,No,,No,,,,,,,,,,,,,,,,11.75,9.69,3.12,,,0.35,None,
A77-b,1b,97.01,96.99,Gutansar,Obsidian,Kombewa,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Concave,Convex,Trapezoidal,Irregular,Feather,Symmetrical,9,Along axis side,Plain,Lipped,Yes,Flake,Pre detachment,Module 3,,Circumference,Dorsal,Half quina,No,,No,,,,,,,,,,,,,,13.43,13.55,13.55,14.02,1.61,3.07,1.23,0.29,Photo high resolution,
A77-n,1b,97.01,96.99,Gutansar,Obsidian,Kombewa,Dist,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,,,,,,,6,Along axis side,Punctiform,Not lipped,Yes,Flake,Pre detachment,Module 1,,Proximal left,Dorsal,Fine,No,,No,,,,,,,,,,,,,,,,7.58,4.97,0.95,1.52,0.94,0.03,Photo high resolution,
A77-o,1b,97.01,96.99,Gutansar,Obsidian,Flake,Prox,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,,,,,Feather,,5,Along axis side,,,Yes,Flake,Pre detachment,Module 1,,Left edge,Dorsal,Regular,No,,No,,,,,,,,,,,,,,,,10.06,4.91,1.18,,,0.06,None,
D6b/b-1,1b,97.5,97.3,Gutansar,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Convex,Concave,Concave,Trapezoidal,Feather,Symmetrical,5,Along axis side,Punctiform,Not lipped,Yes,Flake,Pre detachment,Module 1,,Proximal,Dorsal,Regular,No,,No,,,,,,,,,,,,,,8,7.86,11.18,9.34,1.17,2.86,1.28,0.15,None,
E6b/d,1b,97.5,97.3,Gutansar,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Concave,Convex,Convex,Trapezoidal,Feather,A symetric to the left,18,Centripetal,Crushed,Not lipped,Yes,Flake,Pre detachment,Module 3,,Circumference,Dorsal,Quina,No,,No,,,,,,,,,,,,,,11.65,16.9,24.91,13.2,2.5,,,0.63,Photo high resolution,
E6b/d-5,1b,97.5,97.3,Gutansar,Obsidian,Bladelet,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Concave,Convex,Triangular,Sub rectangular,Feather,Symmetrical,6,Along axis side,Punctiform,Not lipped,Yes,Flake,Pre detachment,Module 2,,Proximal,Dorsal,Regular,No,,No,,,,,,,,,,,,,,11.02,4.89,11.02,5.77,0.83,3.05,1.19,0.05,None,
E6b/d-7,1b,97.5,97.3,Gutansar,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Concave,Convex,Polyhedral,Trapezoidal,Feather,Symmetrical,7,Along axis side,Crushed,Not lipped,Yes,Flake,Pre detachment,Module 2,,Proximal until ridge,Dorsal,Half quina,No,,No,,,,,,,,,,,,,,7.03,9.09,11.71,6.72,1.71,,,0.11,None,
E6b/d-8,1b,97.5,97.3,Gutansar,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Concave,Convex,Polyhedral,Trapezoidal,Feather,Symmetrical,5,Along axis,Plain,Lipped,Yes,Flake,Pre detachment,Module 3,,Distal proximal right,Dorsal,Scraper-like,No,,No,,,,,,,,,,,,,,6.73,6.33,9.62,7.68,1.05,3.94,0.58,0.04,Photo high resolution,
E6b/d-9,1b,97.4,97.3,Gutansar,Obsidian,Kombewa,Dist+Prox,Fresh,Calcified,0,,,No,,,,,,,,,,,,,,,,Edge Modification,,,,,,,1,Along axis,,,Yes,Kombewa flake,Pre detachment,Module 1,,Proximal,Dorsal,Regular,No,,No,,,,,,,,,,,,,,,,11.61,10.55,1.08,,,0.14,None,
E6b/d-10,1b,97.4,97.35,Gutansar,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Concave,Triangular,Convex,Trapezoidal,Feather,Symmetrical,5,Along axis side,Punctiform,Lipped,Yes,Flake,Pre detachment,Module 2,,Proximal until ridge,Dorsal,Half quina,No,,No,,,,,,,,,,,,,,5.61,6.07,9.07,6.28,1.24,2.32,0.55,0.04,None,
F6-2,1b,97.4,97.3,Gutansar,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Straight,Trapezoidal,Trapezoidal,Feather,Symmetrical,7,Along axis opposed,Plain,Lipped,Yes,Flake,Pre detachment,Module 2,,Proximal both edges,Dorsal,Scraper-like,No,,No,,,,,,,,,,,,,,10.57,9.8,10.78,11.5,1.03,3.23,1.05,0.11,Photo high resolution,
F6-6,1b,97.4,97.3,Gutansar,Obsidian,Flake,Dist,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,,,,,,,1,Along axis,Punctiform,Not lipped,Yes,Flake,Pre detachment,Module 1,,Proximal,Dorsal,Isolated removals,No,,No,,,,,,,,,,,,,,,,5.36,5.08,0.66,3.44,0.64,0.01,None,
F6c-1,1b,97.35,97.3,Gutansar,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Straight,Triangular,Sub rectangular,Feather,Symmetrical,2,Along axis,Plain,Not lipped,Yes,Flake,Pre detachment,Module 1,,Proximal,Dorsal,Regular,No,,No,,,,,,,,,,,,,,4.29,2.95,4.36,2.87,0.47,2.37,0.5,0,Photo high resolution,
F6c-26,1b,97.35,97.3,Gutansar,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Concave,Convex,Polyhedral,Trapezoidal,Feather,Symmetrical,9,Along axis side,Punctiform,Not lipped,Yes,Flake,Pre detachment,Module 2,,Proximal,Dorsal,Half quina,No,,No,,,,,,,,,,,,,,8.61,10.42,11.77,8.75,1.9,4.81,0.64,0.16,Photo+3d,
F6c,1b,97.35,97.3,Gutansar,Obsidian,Flake,Prox,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,,,,,Feather,,7,Along axis side,,,Yes,Flake,Pre detachment,Module 4,,Proximal,Dorsal,Scraper-like,No,,No,,,,,,,,,,,,,,,,23.5,9.89,2.06,,,0.39,None,
F6d-2,1b,97.4,97.35,Gutansar,Obsidian,Kombewa,Lat,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,,,,,Feather,,1,Along axis,Plain,Not lipped,Yes,Flake,Pre detachment,Module 1,,Proximal,Dorsal,Isolated removals,No,,No,,,,,,,,,,,,,,,,8.54,6.94,1.38,1.83,1.01,0.05,None,
G6d,1b,97.4,97.35,Gutansar,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Straight,Straight,Trapezoidal,Hinge,Symmetrical,4,Along axis side,Punctiform,Not lipped,Yes,Flake,Pre detachment,Module 2,,Proximal left,Dorsal,Scraper-like,No,,No,,,,,,,,,,,,,,11.07,13.73,16.68,10.93,2.48,1.54,1.54,0.36,Photo high resolution,
A78-e,1b,97.35,97.3,Gutansar,Obsidian,Flake,Dist+Lat,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,,,,,,,5,Along axis side,Punctiform,Lipped,Yes,Flake,Pre detachment,Module 2,,Indeterminate,Dorsal,Flat,No,,No,,,,,,,,,,,,,,,,10.15,7.21,0.54,1.64,0.79,0.01,None,
A78-a,1b,97.35,97.3,Gutansar,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Straight,Triangular,Sub rectangular,Feather,Symmetrical,12,Along axis side,Plain,Not lipped,Yes,Flake,Pre detachment,Module 3,,Circumference,Dorsal,Mixed,No,,No,,,,,,,,,,,,,,14.63,10.87,15.11,12.23,1.81,5.72,1.57,0.33,None,
A77-a,1b,97.4,97.3,Gutansar,Obsidian,Kombewa,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Concave,Convex,Polyhedral,Sub rectangular,Feather,Symmetrical,11,Along axis side,Crushed,Not lipped,Yes,Kombewa flake,Pre detachment,Module 3,,Circumference,Dorsal,Half quina,No,,No,,,,,,,,,,,,,,7.34,6.26,7.83,6.68,1.32,,,0.05,None,
B77-a,1b,97.5,97.4,Gutansar,Obsidian,Kombewa,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Concave,Convex,Convex,Irregular,Feather,Symmetrical,15,Along axis,Punctiform,Not lipped,Yes,Kombewa flake,Pre detachment,Module 4,,Proximal until ridge,Dorsal,Mixed,No,,No,,,,,,,,,,,,,,10.81,12.75,14.2,12.66,1.49,1.93,1.1,0.15,Photo+3d,Two ventrals
B77-a,1b,97.5,97.4,Gutansar,Obsidian,Kombewa,Dist+Lat,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,,,,,,,4,Along axis,Plain,Not lipped,Yes,Kombewa flake,Pre detachment,Module 1,,Proximal,Dorsal,Scraper-like,No,,No,,,,,,,,,,,,,,,,11.54,6.94,2.88,11.19,1.83,0.3,None,
B77-a,1b,97.5,97.3,Gutansar,Obsidian,Kombewa,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Concave,Convex,Polyhedral,Trapezoidal,Feather,Symmetrical,10,Along axis,Crushed,Not lipped,Yes,Kombewa flake,Pre detachment,Module 3,,Circumference,Dorsal,Half quina,No,,No,,,,,,,,,,,,,,14.09,9.08,14.15,12.14,1.15,,,0.2,Photo+3d,
B77-b,1b,97.5,97.3,Gutansar,Obsidian,Kombewa,Dist,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,,,,,,,9,Along axis,Crushed,Not lipped,Yes,Flake,Pre detachment,Module 2,,Proximal until ridge,Dorsal,Mixed,No,,No,,,,,,,,,,,,,,,,15.94,9.88,3.25,,,0.39,None,
B77-h,1b,96.94,96.92,Gutansar,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Straight,Triangular,Sub rectangular,Hinge,Symmetrical,3,Along axis,Plain,Lipped,Yes,Flake,Pre detachment,Module 1,,Circumference,Dorsal,Regular,No,,No,,,,,,,,,,,,,,9.18,3.81,9.26,7.09,0.63,2.81,0.82,0.01,None,
B77-j,1b,96.94,96.92,Gutansar,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Concave,Oblique, pointed,Feather,Symmetrical,5,Along axis,Plain,Lipped,Yes,Flake,Pre detachment,Module 2,,Proximal,Dorsal,Scraper-like,No,,No,,,,,,,,,,,,,,6.22,5.05,7.15,5.85,0.83,3.5,0.87,0.01,None,
